20220728_114548 
time	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	U	
time	TEC1	TEC2	BoxTop	TabAnode	SurfaceBottomAnode	SurfaceTopAnode	SurfaceBottomCathode	SurfaceTopCathode	TabCathode	SurfaceTopCenter	SurfaceBottomCenter	CoolingBlockTop	Ambient	U	
3741846350.904	30.000	30.000	27.457	29.926	29.531	30.051	30.415	30.035	29.639	29.934	30.077	26.997	25.120	3.82672
3741846352.864	30.000	30.000	27.453	29.921	29.533	30.134	30.550	30.149	29.635	30.076	30.340	26.979	25.129	3.82673
3741846354.872	30.000	30.000	27.452	29.920	29.532	30.583	31.053	30.696	29.633	30.774	31.133	26.972	25.088	3.82672
3741846356.908	30.000	30.000	27.452	29.924	29.524	31.292	31.786	31.521	29.636	31.795	32.149	26.974	25.085	3.82670
3741846358.904	30.000	30.000	27.451	29.928	29.495	32.114	32.615	32.462	29.635	32.898	33.196	26.972	25.110	3.82667
3741846360.892	32.000	31.000	27.450	29.939	29.449	32.968	33.463	33.419	29.639	33.970	34.195	26.963	25.140	3.82663
3741846362.866	32.000	31.000	27.449	29.951	29.388	33.836	34.321	34.385	29.644	35.008	35.158	26.964	25.190	3.82659
3741846364.874	34.000	32.000	27.449	29.970	29.314	34.686	35.149	35.314	29.650	35.981	36.049	26.979	25.195	3.82654
3741846366.919	34.000	34.000	27.450	29.996	29.241	35.511	35.948	36.213	29.664	36.901	36.889	26.979	25.234	3.82648
3741846368.903	35.000	34.000	27.450	30.022	29.157	36.332	36.734	37.095	29.676	37.794	37.702	26.973	25.237	3.82643
3741846370.897	37.000	35.000	27.451	30.056	29.084	37.095	37.458	37.909	29.694	38.614	38.444	26.998	25.237	3.82638
3741846372.868	37.000	35.000	27.450	30.093	29.009	37.845	38.170	38.705	29.712	39.409	39.165	27.015	25.192	3.82633
3741846374.864	39.000	37.000	27.448	30.132	28.932	38.570	38.854	39.469	29.732	40.175	39.858	27.036	25.202	3.82628
3741846376.893	39.000	37.000	27.449	30.177	28.862	39.283	39.524	40.214	29.758	40.919	40.531	27.038	25.229	3.82623
3741846378.931	40.000	38.000	27.447	30.230	28.794	39.992	40.187	40.956	29.786	41.658	41.196	27.064	25.216	3.82618
3741846380.903	40.000	38.000	27.448	30.280	28.732	40.630	40.783	41.619	29.815	42.321	41.798	27.054	25.251	3.82612
3741846382.887	41.000	39.000	27.448	30.339	28.675	41.277	41.383	42.287	29.847	42.985	42.399	27.027	25.218	3.82608
3741846384.870	41.000	40.000	27.445	30.397	28.620	41.897	41.961	42.925	29.881	43.626	42.979	27.010	25.143	3.82603
3741846386.918	42.000	40.000	27.450	30.468	28.575	42.518	42.536	43.562	29.923	44.260	43.551	27.022	25.134	3.82599
3741846388.941	44.000	41.000	27.448	30.539	28.529	43.117	43.093	44.178	29.967	44.876	44.111	27.033	25.183	3.82595
3741846390.898	44.000	41.000	27.450	30.611	28.490	43.687	43.620	44.758	30.012	45.456	44.634	27.027	25.196	3.82591
3741846392.897	45.000	42.000	27.445	30.686	28.450	44.245	44.136	45.327	30.055	46.026	45.152	27.007	25.159	3.82588
3741846394.867	45.000	42.000	27.444	30.765	28.415	44.790	44.643	45.883	30.105	46.580	45.658	26.992	25.151	3.82585
3741846396.901	46.000	43.000	27.442	30.847	28.382	45.328	45.141	46.427	30.155	47.125	46.152	27.007	25.149	3.82582
3741846398.932	46.000	43.000	27.444	30.938	28.355	45.860	45.635	46.968	30.214	47.666	46.648	27.024	25.142	3.82580
3741846400.877	47.000	44.000	27.445	31.024	28.327	46.356	46.095	47.469	30.268	48.167	47.105	27.009	25.082	3.82578
3741846402.913	47.000	44.000	27.445	31.116	28.301	46.853	46.553	47.970	30.328	48.668	47.562	26.992	25.024	3.82575
3741846404.881	48.000	45.000	27.445	31.211	28.280	47.336	47.001	48.458	30.390	49.158	48.012	26.983	25.024	3.82573
3741846406.904	48.000	46.000	27.443	31.309	28.259	47.811	47.446	48.935	30.453	49.634	48.451	26.979	25.014	3.82572
3741846408.913	48.000	46.000	27.444	31.412	28.244	48.222	47.885	49.337	30.521	50.017	48.889	26.984	25.016	3.82571
3741846410.872	49.000	46.000	27.443	31.513	28.229	48.472	48.296	49.548	30.588	50.168	49.298	26.967	25.041	3.82570
3741846412.939	49.000	46.000	27.443	31.617	28.213	48.581	48.706	49.601	30.655	50.129	49.707	26.964	25.058	3.82570
3741846414.880	49.000	47.000	27.442	31.721	28.200	48.601	49.108	49.559	30.727	49.997	50.108	26.977	25.050	3.82570
3741846416.901	49.000	47.000	27.441	31.827	28.187	48.606	49.498	49.507	30.798	49.887	50.500	26.986	25.031	3.82570
3741846418.899	49.000	48.000	27.444	31.939	28.182	48.642	49.889	49.501	30.877	49.859	50.890	26.981	25.055	3.82571
3741846420.915	49.000	48.000	27.446	32.050	28.175	48.714	50.262	49.540	30.951	49.900	51.265	26.976	25.067	3.82572
3741846422.919	49.000	48.000	27.443	32.157	28.170	48.821	50.626	49.621	31.026	49.997	51.630	26.976	25.126	3.82573
3741846424.883	49.000	48.000	27.444	32.268	28.167	48.933	50.949	49.707	31.103	50.096	51.930	26.974	25.149	3.82575
3741846426.925	49.000	49.000	27.444	32.381	28.163	49.018	51.165	49.765	31.182	50.150	52.060	26.968	25.148	3.82576
3741846428.878	49.000	50.000	27.445	32.493	28.161	49.075	51.246	49.787	31.261	50.158	52.016	26.968	25.138	3.82578
3741846430.898	49.000	50.000	27.445	32.607	28.162	49.102	51.220	49.783	31.341	50.134	51.854	26.974	25.111	3.82580
3741846432.927	49.000	50.000	27.444	32.717	28.167	49.122	51.116	49.769	31.419	50.105	51.630	26.976	25.068	3.82582
3741846434.877	49.000	50.000	27.443	32.827	28.176	49.152	50.997	49.776	31.498	50.109	51.431	26.973	25.044	3.82585
3741846436.935	49.000	50.000	27.446	32.938	28.199	49.194	50.890	49.798	31.581	50.133	51.281	26.971	25.030	3.82588
3741846438.870	49.000	50.000	27.446	33.047	28.223	49.240	50.820	49.825	31.660	50.164	51.203	26.977	25.033	3.82591
3741846440.889	49.000	50.000	27.446	33.156	28.246	49.281	50.796	49.852	31.740	50.191	51.194	26.979	25.058	3.82594
3741846442.914	49.000	50.000	27.442	33.261	28.269	49.319	50.818	49.876	31.819	50.216	51.242	26.986	25.078	3.82596
3741846444.881	49.000	49.000	27.445	33.369	28.296	49.363	50.883	49.904	31.896	50.245	51.336	26.993	25.030	3.82597
3741846446.928	49.000	49.000	27.445	33.478	28.322	49.396	50.965	49.923	31.979	50.263	51.441	26.997	25.066	3.82601
3741846448.893	49.000	49.000	27.444	33.583	28.342	49.421	51.041	49.937	32.057	50.268	51.516	26.978	25.104	3.82603
3741846450.878	49.000	50.000	27.443	33.687	28.360	49.445	51.091	49.948	32.135	50.277	51.548	26.962	25.141	3.82606
3741846452.926	49.000	50.000	27.445	33.794	28.380	49.471	51.119	49.961	32.216	50.289	51.548	26.956	25.157	3.82608
3741846454.907	49.000	50.000	27.445	33.898	28.399	49.497	51.123	49.976	32.293	50.300	51.522	26.949	25.138	3.82611
3741846456.891	49.000	50.000	27.444	33.995	28.412	49.518	51.104	49.989	32.369	50.313	51.469	26.955	25.132	3.82613
3741846458.857	49.000	50.000	27.447	34.098	28.430	49.547	51.080	50.007	32.447	50.330	51.418	26.973	25.120	3.82615
3741846460.859	49.000	50.000	27.443	34.199	28.450	49.564	51.054	50.016	32.523	50.336	51.377	26.969	25.086	3.82617
3741846462.893	49.000	50.000	27.443	34.298	28.468	49.577	51.048	50.020	32.600	50.334	51.371	26.959	25.064	3.82619
3741846464.897	49.000	50.000	27.444	34.395	28.489	49.592	51.065	50.026	32.675	50.336	51.395	26.958	25.070	3.82621
3741846466.880	49.000	50.000	27.443	34.492	28.508	49.605	51.098	50.032	32.751	50.341	51.436	26.955	25.089	3.82624
3741846468.880	50.000	50.000	27.444	34.590	28.529	49.621	51.138	50.041	32.828	50.347	51.478	26.955	25.082	3.82626
3741846470.857	50.000	50.000	27.444	34.687	28.546	49.636	51.167	50.049	32.902	50.354	51.503	26.946	25.126	3.82627
3741846472.865	50.000	50.000	27.445	34.780	28.563	49.651	51.187	50.059	32.977	50.363	51.511	26.954	25.162	3.82629
