20220726_024912 
time	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	U	
time	TEC1	TEC2	BoxTop	TabAnode	SurfaceBottomAnode	SurfaceTopAnode	SurfaceBottomCathode	SurfaceTopCathode	TabCathode	SurfaceTopCenter	SurfaceBottomCenter	CoolingBlockTop	Ambient	U	
3741641354.674	10.000	11.000	27.538	15.362	32.278	10.298	9.863	10.266	16.679	9.962	9.384	27.051	25.140	3.94482
3741641356.944	10.000	11.000	27.536	15.359	32.303	11.066	9.862	11.202	16.674	11.136	9.382	27.036	25.146	3.94482
3741641358.980	10.000	11.000	27.538	15.363	32.315	12.140	9.870	12.461	16.678	12.659	9.392	27.020	25.277	3.94483
3741641360.740	10.000	11.000	27.537	15.368	32.315	13.173	10.115	13.653	16.680	14.029	9.837	27.017	25.298	3.94484
3741641362.693	10.000	11.000	27.539	15.378	32.304	14.343	10.885	14.980	16.684	15.493	11.007	27.015	25.336	3.94486
3741641364.884	14.000	11.000	27.540	15.393	32.259	15.672	12.151	16.474	16.691	17.081	12.722	27.016	25.388	3.94489
3741641366.720	14.000	11.000	27.540	15.414	32.187	16.741	13.315	17.659	16.699	18.307	14.167	27.020	25.354	3.94492
3741641368.885	14.000	11.000	27.540	15.447	32.047	18.030	14.806	19.070	16.713	19.747	15.887	27.033	25.298	3.94496
3741641370.654	14.000	13.000	27.540	15.478	31.906	19.026	15.979	20.148	16.726	20.833	17.183	27.029	25.237	3.94500
3741641372.752	20.000	13.000	27.542	15.526	31.721	20.160	17.326	21.366	16.747	22.051	18.619	27.032	25.203	3.94505
3741641374.650	20.000	13.000	27.539	15.570	31.543	21.167	18.521	22.440	16.769	23.124	19.867	27.021	25.093	3.94510
3741641376.819	20.000	13.000	27.540	15.629	31.342	22.261	19.807	23.593	16.799	24.272	21.186	27.016	25.059	3.94515
3741641378.685	20.000	18.000	27.540	15.690	31.164	23.195	20.895	24.574	16.829	25.245	22.290	27.014	25.105	3.94520
3741641380.875	24.000	18.000	27.541	15.770	30.973	24.268	22.133	25.691	16.873	26.355	23.537	27.016	24.982	3.94527
3741641382.943	24.000	18.000	27.540	15.849	30.805	25.227	23.224	26.683	16.914	27.343	24.633	27.014	24.974	3.94532
3741641384.943	24.000	22.000	27.539	15.932	30.654	26.046	24.235	27.503	16.960	28.137	25.644	27.007	24.931	3.94537
3741641387.026	24.000	22.000	27.539	16.025	30.497	26.623	25.264	28.030	17.013	28.557	26.675	27.008	25.110	3.94543
3741641388.670	28.000	22.000	27.540	16.105	30.378	26.861	26.058	28.194	17.058	28.590	27.466	27.010	25.071	3.94548
3741641390.774	28.000	22.000	27.537	16.206	30.227	26.968	27.022	28.190	17.120	28.417	28.434	27.005	25.096	3.94553
3741641392.708	28.000	22.000	27.538	16.303	30.112	26.990	27.845	28.120	17.177	28.230	29.237	26.994	25.032	3.94557
3741641394.786	28.000	26.000	27.536	16.409	29.993	27.031	28.512	28.072	17.241	28.120	29.766	27.001	25.121	3.94562
3741641396.666	28.000	26.000	27.535	16.511	29.896	27.114	28.847	28.090	17.305	28.124	29.866	27.003	25.115	3.94566
3741641398.813	28.000	26.000	27.539	16.630	29.805	27.251	28.938	28.170	17.381	28.215	29.657	27.020	25.153	3.94571
3741641400.646	28.000	26.000	27.535	16.729	29.730	27.385	28.863	28.259	17.445	28.321	29.363	27.007	25.111	3.94575
3741641402.737	28.000	28.000	27.531	16.844	29.668	27.528	28.695	28.358	17.519	28.429	29.004	26.990	25.072	3.94578
3741641404.692	28.000	28.000	27.532	16.949	29.631	27.639	28.496	28.428	17.589	28.501	28.679	26.990	25.145	3.94581
3741641406.759	28.000	28.000	27.531	17.066	29.609	27.745	28.300	28.491	17.668	28.562	28.410	26.991	25.071	3.94585
3741641408.663	28.000	28.000	27.531	17.169	29.600	27.822	28.185	28.532	17.739	28.600	28.283	26.993	25.006	3.94588
3741641410.653	28.000	28.000	27.530	17.276	29.597	27.884	28.107	28.561	17.811	28.621	28.208	27.017	24.963	3.94592
3741641412.806	28.000	28.000	27.529	17.394	29.601	27.954	28.097	28.598	17.894	28.655	28.231	27.030	24.874	3.94595
3741641414.711	28.000	28.000	27.531	17.497	29.598	28.015	28.147	28.634	17.966	28.691	28.318	27.009	24.968	3.94598
3741641416.683	28.000	28.000	27.529	17.605	29.601	28.074	28.239	28.670	18.043	28.729	28.448	26.998	25.029	3.94601
3741641418.693	28.000	28.000	27.527	17.711	29.601	28.120	28.343	28.691	18.118	28.747	28.570	27.002	25.067	3.94604
3741641420.772	28.000	28.000	27.527	17.824	29.597	28.164	28.444	28.713	18.199	28.767	28.672	27.017	25.178	3.94607
3741641422.652	28.000	28.000	27.527	17.927	29.586	28.206	28.514	28.737	18.274	28.790	28.722	27.011	25.246	3.94609
3741641424.707	28.000	28.000	27.527	18.037	29.575	28.247	28.561	28.759	18.351	28.811	28.739	26.995	25.262	3.94612
3741641426.980	28.000	28.000	27.523	18.156	29.552	28.281	28.589	28.773	18.439	28.820	28.732	26.992	25.285	3.94616
3741641428.669	28.000	28.000	27.522	18.246	29.541	28.309	28.601	28.785	18.504	28.830	28.718	26.990	25.268	3.94618
3741641430.936	28.000	28.000	27.525	18.363	29.526	28.344	28.608	28.806	18.593	28.852	28.704	26.992	25.258	3.94620
