20230809_153645 
time	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	U	
time	TEC1	TEC2	CoolingBlockBottom	TabAnode	SurfaceBottomAnode	SurfaceTopAnode	SurfaceBottomCathode	SurfaceTopCathode	TabCathode	SurfaceTopCenter	SurfaceBottomCenter	CoolingBlockTop	Ambient	U	
3774433007.205	10.000	10.000	25.459	13.904	10.045	10.194	10.090	10.387	15.375	9.899	9.664	25.353	23.730	3.71509
3774433009.149	10.000	9.000	25.458	13.901	10.042	10.182	10.087	10.379	15.373	9.884	9.662	25.355	23.703	3.71509
3774433011.222	10.000	9.000	25.458	13.901	10.042	10.175	10.088	10.373	15.372	9.873	9.665	25.355	23.742	3.71510
3774433013.160	10.000	9.000	25.458	13.901	10.043	10.170	10.090	10.369	15.371	9.867	9.666	25.357	23.777	3.71509
3774433015.145	10.000	9.000	25.455	13.900	10.045	10.165	10.093	10.364	15.370	9.863	9.669	25.354	23.780	3.71510
3774433017.209	10.000	9.000	25.453	13.901	10.045	10.167	10.093	10.362	15.369	9.867	9.672	25.359	23.741	3.71510
3774433019.186	10.000	9.000	25.456	13.900	10.050	10.176	10.100	10.367	15.371	9.882	9.680	25.356	23.750	3.71510
3774433021.195	10.000	9.000	25.454	13.900	10.053	10.183	10.104	10.373	15.370	9.893	9.684	25.354	23.779	3.71509
3774433023.146	10.000	9.000	25.455	13.898	10.054	10.184	10.106	10.378	15.369	9.896	9.685	25.355	23.699	3.71509
3774433025.152	10.000	9.000	25.454	13.902	10.164	10.383	10.333	10.472	15.374	10.199	10.082	25.351	23.635	3.71508
3774433027.180	10.000	9.000	25.403	13.901	10.691	11.033	11.127	10.855	15.372	11.150	11.234	25.308	23.637	3.71503
3774433029.173	10.000	9.000	25.279	13.900	11.513	11.927	12.224	11.466	15.370	12.400	12.650	25.223	23.682	3.71493
3774433031.173	12.000	11.000	25.132	13.905	12.511	12.957	13.482	12.239	15.373	13.755	14.138	25.122	23.672	3.71478
3774433033.187	12.000	11.000	24.995	13.911	13.553	14.011	14.757	13.079	15.376	15.065	15.554	25.009	23.788	3.71461
3774433035.151	12.000	11.000	24.893	13.926	14.625	15.079	16.031	13.967	15.387	16.332	16.906	24.913	23.778	3.71439
3774433037.165	12.000	11.000	24.813	13.947	15.680	16.120	17.262	14.865	15.401	17.523	18.173	24.833	23.718	3.71418
3774433039.200	12.000	11.000	24.753	13.969	16.700	17.126	18.435	15.747	15.415	18.644	19.359	24.765	23.701	3.71396
3774433041.196	12.000	11.000	24.703	13.998	17.729	18.134	19.603	16.650	15.434	19.742	20.517	24.714	23.678	3.71372
3774433043.201	12.000	11.000	24.675	14.036	18.688	19.070	20.676	17.505	15.461	20.749	21.579	24.676	23.668	3.71348
3774433045.174	12.000	11.000	24.651	14.077	19.632	19.992	21.721	18.355	15.486	21.726	22.611	24.643	23.727	3.71323
3774433047.156	12.000	11.000	24.634	14.126	20.556	20.888	22.733	19.198	15.518	22.672	23.602	24.618	23.741	3.71299
3774433049.193	12.000	11.000	24.619	14.179	21.459	21.770	23.715	20.028	15.550	23.594	24.566	24.603	23.729	3.71274
3774433051.200	12.000	11.000	24.611	14.242	22.358	22.646	24.685	20.868	15.592	24.508	25.516	24.591	23.749	3.71248
3774433053.192	24.000	24.000	24.607	14.309	23.192	23.456	25.575	21.647	15.636	25.349	26.390	24.587	23.800	3.71225
3774433055.176	24.000	24.000	24.606	14.385	24.022	24.268	26.457	22.433	15.684	26.181	27.253	24.580	23.805	3.71200
3774433057.155	24.000	24.000	24.605	14.463	24.828	25.052	27.312	23.200	15.735	26.989	28.088	24.577	23.721	3.71176
3774433059.198	24.000	24.000	24.608	14.551	25.633	25.833	28.153	23.964	15.792	27.787	28.917	24.578	23.582	3.71153
3774433061.201	24.000	24.000	24.610	14.643	26.394	26.525	28.930	24.682	15.851	28.462	29.652	24.579	23.709	3.71130
3774433063.183	24.000	24.000	24.618	14.739	27.006	26.992	29.482	25.258	15.915	28.816	30.065	24.590	23.785	3.71109
3774433065.207	24.000	24.000	24.647	14.840	27.386	27.235	29.736	25.664	15.979	28.859	30.101	24.619	23.840	3.71090
3774433067.168	24.000	24.000	24.705	14.945	27.553	27.327	29.743	25.932	16.048	28.735	29.877	24.662	23.846	3.71075
