20230726_224707 
time	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	U	
time	TEC1	TEC2	CoolingBlockBottom	TabAnode	SurfaceBottomAnode	SurfaceTopAnode	SurfaceBottomCathode	SurfaceTopCathode	TabCathode	SurfaceTopCenter	SurfaceBottomCenter	CoolingBlockTop	Ambient	U	
3773249229.267	25.000	25.000	25.389	25.016	24.990	24.932	25.320	24.943	25.003	24.787	24.956	25.296	23.628	3.85420
3773249231.258	25.000	25.000	25.387	25.013	24.987	24.932	25.319	24.940	25.002	24.789	24.956	25.298	23.744	3.85421
3773249233.247	25.000	25.000	25.386	25.011	24.984	24.928	25.315	24.938	24.997	24.785	24.951	25.295	23.562	3.85421
3773249235.254	25.000	25.000	25.385	25.012	25.072	25.089	25.489	25.009	25.001	25.028	25.258	25.295	23.614	3.85419
3773249237.299	25.000	25.000	25.353	25.013	25.477	25.591	26.083	25.290	25.001	25.768	26.117	25.263	23.740	3.85419
3773249239.294	25.000	25.000	25.271	25.012	26.127	26.308	26.936	25.766	25.000	26.772	27.215	25.202	23.790	3.85417
3773249241.275	26.000	26.000	25.182	25.014	26.853	27.080	27.845	26.331	25.001	27.787	28.290	25.135	23.863	3.85415
3773249243.262	26.000	26.000	25.104	25.024	27.648	27.900	28.806	26.972	25.010	28.809	29.357	25.065	24.124	3.85412
3773249245.246	26.000	26.000	25.040	25.031	28.435	28.703	29.738	27.624	25.014	29.758	30.346	25.001	24.066	3.85409
3773249247.286	26.000	26.000	24.991	25.044	29.231	29.504	30.662	28.300	25.021	30.674	31.295	24.946	23.800	3.85406
3773249249.301	26.000	26.000	24.955	25.061	30.017	30.296	31.561	28.983	25.033	31.553	32.203	24.904	23.631	3.85403
3773249251.271	26.000	26.000	24.929	25.084	30.744	31.023	32.385	29.627	25.047	32.343	33.023	24.872	23.609	3.85399
3773249253.277	26.000	26.000	24.914	25.111	31.473	31.748	33.197	30.279	25.066	33.124	33.828	24.852	23.603	3.85396
3773249255.246	26.000	26.000	24.901	25.141	32.179	32.452	33.975	30.917	25.082	33.867	34.595	24.830	23.511	3.85392
3773249257.302	26.000	26.000	24.895	25.178	32.879	33.145	34.739	31.559	25.109	34.600	35.348	24.821	23.484	3.85389
3773249259.293	26.000	26.000	24.888	25.216	33.553	33.818	35.472	32.186	25.133	35.300	36.068	24.813	23.525	3.85386
3773249261.271	26.000	26.000	24.885	25.260	34.200	34.454	36.167	32.789	25.161	35.965	36.748	24.806	23.545	3.85384
3773249263.295	35.000	35.000	24.886	25.310	34.836	35.081	36.844	33.388	25.193	36.615	37.414	24.806	23.564	3.85381
