20220723_191515 
time	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	U	
time	TEC1	TEC2	BoxTop	TabAnode	SurfaceBottomAnode	SurfaceTopAnode	SurfaceBottomCathode	SurfaceTopCathode	TabCathode	SurfaceTopCenter	SurfaceBottomCenter	CoolingBlockTop	Ambient	U	
3741441316.853	10.000	11.000	27.869	15.382	32.352	10.142	9.885	10.058	16.714	9.690	9.422	27.292	25.635	4.05821
3741441318.887	10.000	10.000	27.871	15.370	32.360	10.145	10.324	10.085	16.685	9.774	10.227	27.332	25.724	4.05820
3741441321.169	10.000	10.000	27.869	15.384	32.349	10.803	11.451	10.836	16.682	10.719	11.826	27.285	25.618	4.05818
3741441322.897	10.000	10.000	27.871	15.390	32.297	11.641	12.521	11.870	16.717	11.931	13.230	27.311	25.751	4.05816
3741441324.901	10.000	12.000	27.870	15.401	32.214	12.760	13.802	13.158	16.720	13.444	14.791	27.337	25.864	4.05809
3741441327.030	13.000	12.000	27.872	15.408	32.040	14.012	15.180	14.580	16.697	15.089	16.406	27.334	25.804	4.05802
3741441328.964	13.000	12.000	27.872	15.451	31.886	15.261	16.478	15.961	16.739	16.519	17.788	27.292	25.731	4.05793
3741441331.031	13.000	12.000	27.871	15.468	31.673	16.454	17.730	17.276	16.751	17.943	19.154	27.310	25.524	4.05782
3741441332.910	13.000	16.000	27.870	15.505	31.481	17.588	18.888	18.508	16.734	19.203	20.352	27.308	25.429	4.05771
3741441335.037	18.000	16.000	27.869	15.554	31.277	18.853	20.146	19.867	16.788	20.532	21.609	27.332	25.551	4.05757
3741441337.014	18.000	16.000	27.871	15.622	31.124	19.946	21.234	21.034	16.816	21.704	22.712	27.298	25.635	4.05745
3741441338.856	18.000	20.000	27.872	15.680	30.959	20.962	22.237	22.108	16.846	22.779	23.722	27.327	25.683	4.05731
3741441341.099	22.000	20.000	27.872	15.738	30.773	22.135	23.384	23.343	16.883	24.012	24.874	27.345	25.769	4.05715
3741441343.094	22.000	20.000	27.870	15.812	30.593	23.110	24.343	24.408	16.921	25.074	25.863	27.338	25.728	4.05700
3741441345.147	22.000	23.000	27.868	15.909	30.459	24.167	25.349	25.461	16.964	26.122	26.836	27.301	25.689	4.05685
3741441347.200	26.000	23.000	27.873	15.984	30.320	25.088	26.244	26.410	17.017	27.118	27.757	27.325	25.750	4.05670
3741441348.945	26.000	23.000	27.873	16.067	30.218	25.890	27.031	27.227	17.033	27.929	28.545	27.345	25.690	4.05657
3741441350.949	26.000	23.000	27.870	16.176	30.118	26.616	27.876	27.923	17.115	28.510	29.312	27.353	25.696	4.05643
3741441352.955	26.000	26.000	27.870	16.282	30.001	26.993	28.463	28.221	17.177	28.659	29.725	27.350	25.747	4.05631
3741441354.937	28.000	26.000	27.872	16.388	29.897	27.132	28.740	28.257	17.241	28.528	29.740	27.370	25.830	4.05620
