20230824_100350 
time	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	U	
time	TEC1	TEC2	CoolingBlockBottom	TabAnode	SurfaceBottomAnode	SurfaceTopAnode	SurfaceBottomCathode	SurfaceTopCathode	TabCathode	SurfaceTopCenter	SurfaceBottomCenter	CoolingBlockTop	Ambient	U	
3775709032.940	10.000	10.000	25.462	14.178	10.196	10.440	10.367	10.546	15.856	10.239	10.091	25.531	27.017	3.23028
3775709034.921	10.000	10.000	25.411	14.179	10.716	11.072	11.156	10.927	15.854	11.171	11.223	25.489	26.956	3.23020
3775709036.979	10.000	10.000	25.289	14.179	11.554	11.984	12.281	11.559	15.855	12.443	12.666	25.404	26.899	3.23007
3775709038.912	12.000	11.000	25.148	14.182	12.523	12.987	13.506	12.316	15.856	13.761	14.112	25.302	26.932	3.22988
3775709040.930	12.000	11.000	25.017	14.190	13.581	14.059	14.793	13.171	15.864	15.088	15.545	25.199	26.944	3.22967
3775709042.954	12.000	11.000	24.914	14.204	14.637	15.113	16.052	14.047	15.870	16.333	16.882	25.102	26.850	3.22943
3775709044.916	12.000	11.000	24.836	14.224	15.667	16.134	17.255	14.922	15.883	17.497	18.120	25.023	26.803	3.22917
3775709046.974	12.000	11.000	24.776	14.249	16.698	17.144	18.440	15.810	15.902	18.624	19.316	24.955	26.850	3.22889
3775709048.931	12.000	11.000	24.730	14.279	17.687	18.115	19.561	16.678	15.919	19.683	20.435	24.903	26.775	3.22862
3775709050.925	12.000	11.000	24.699	14.317	18.662	19.069	20.650	17.544	15.946	20.707	21.514	24.863	26.662	3.22833
3775709052.961	12.000	11.000	24.669	14.355	19.609	19.991	21.700	18.396	15.969	21.687	22.545	24.829	26.626	3.22805
3775709054.960	12.000	11.000	24.655	14.407	20.524	20.885	22.699	19.232	16.003	22.628	23.530	24.807	26.568	3.22775
3775709056.953	12.000	11.000	24.641	14.460	21.412	21.748	23.662	20.049	16.036	23.531	24.475	24.789	26.618	3.22746
3775709058.909	12.000	11.000	24.634	14.523	22.279	22.592	24.593	20.853	16.076	24.404	25.389	24.778	26.545	3.22717
3775709060.912	24.000	23.000	24.626	14.591	23.136	23.423	25.512	21.655	16.122	25.267	26.288	24.767	26.537	3.22687
3775709062.971	24.000	23.000	24.621	14.664	23.978	24.242	26.404	22.451	16.168	26.108	27.165	24.763	26.564	3.22658
3775709064.950	24.000	23.000	24.623	14.745	24.767	25.008	27.236	23.200	16.221	26.894	27.983	24.760	26.619	3.22629
3775709066.936	24.000	23.000	24.625	14.834	25.563	25.780	28.068	23.956	16.276	27.682	28.796	24.760	26.661	3.22600
3775709068.946	24.000	23.000	24.623	14.923	26.317	26.483	28.844	24.674	16.335	28.386	29.550	24.759	26.729	3.22572
3775709070.903	24.000	23.000	24.630	15.022	26.969	27.017	29.447	25.291	16.399	28.828	30.037	24.765	26.789	3.22545
3775709072.915	24.000	23.000	24.653	15.124	27.394	27.313	29.748	25.736	16.466	28.940	30.137	24.788	26.793	3.22522
3775709074.943	24.000	23.000	24.702	15.230	27.591	27.435	29.781	26.026	16.532	28.849	29.943	24.828	26.794	3.22503
3775709076.943	24.000	23.000	24.773	15.341	27.623	27.484	29.641	26.231	16.604	28.708	29.601	24.878	26.777	3.22486
3775709078.948	24.000	23.000	24.850	15.452	27.581	27.534	29.457	26.392	16.677	28.634	29.295	24.928	26.758	3.22472
3775709080.918	24.000	23.000	24.921	15.569	27.535	27.613	29.299	26.554	16.754	28.638	29.085	24.975	26.666	3.22459
3775709082.895	28.000	29.000	24.968	15.683	27.525	27.720	29.212	26.721	16.829	28.711	28.999	25.011	26.671	3.22448
3775709084.956	28.000	29.000	24.999	15.803	27.574	27.848	29.209	26.901	16.908	28.815	29.031	25.034	26.841	3.22437
3775709086.957	28.000	29.000	25.010	15.921	27.680	27.962	29.281	27.067	16.984	28.903	29.159	25.052	26.925	3.22426
3775709088.944	28.000	29.000	25.011	16.037	27.823	28.057	29.400	27.213	17.061	28.962	29.317	25.071	26.974	3.22416
3775709090.931	28.000	29.000	25.008	16.155	27.972	28.125	29.520	27.339	17.137	28.990	29.454	25.086	26.996	3.22406
3775709092.909	28.000	29.000	25.007	16.273	28.101	28.183	29.610	27.449	17.215	29.003	29.537	25.099	27.003	3.22398
3775709094.960	28.000	29.000	25.017	16.398	28.201	28.243	29.665	27.555	17.296	29.029	29.566	25.118	26.926	3.22388
3775709096.971	28.000	29.000	25.029	16.517	28.265	28.298	29.678	27.653	17.378	29.056	29.545	25.131	26.822	3.22382
