20220731_213248 
time	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	U	
time	TEC1	TEC2	BoxTop	TabAnode	SurfaceBottomAnode	SurfaceTopAnode	SurfaceBottomCathode	SurfaceTopCathode	TabCathode	SurfaceTopCenter	SurfaceBottomCenter	CoolingBlockTop	Ambient	U	
3742140770.912	9.000	11.000	27.229	15.202	32.223	10.056	9.770	9.978	16.466	9.613	9.269	26.661	24.681	3.76714
3742140772.762	9.000	11.000	27.230	15.203	32.222	10.061	9.814	9.984	16.465	9.620	9.367	26.673	24.695	3.76713
3742140774.891	9.000	11.000	27.231	15.205	32.209	10.062	10.410	9.983	16.468	9.618	10.361	26.710	24.540	3.76713
3742140776.856	9.000	11.000	27.231	15.208	32.199	10.305	11.406	10.298	16.467	10.002	11.797	26.695	24.448	3.76708
3742140778.755	10.000	11.000	27.234	15.213	32.158	11.024	12.594	11.160	16.469	11.079	13.355	26.694	24.310	3.76698
3742140780.959	10.000	11.000	27.234	15.226	32.063	12.188	14.038	12.508	16.472	12.705	15.099	26.679	24.308	3.76681
3742140782.742	10.000	13.000	27.233	15.242	31.957	13.244	15.214	13.703	16.478	14.077	16.441	26.673	24.381	3.76664
3742140784.906	14.000	13.000	27.232	15.268	31.780	14.588	16.632	15.201	16.487	15.723	17.991	26.664	24.504	3.76638
3742140786.951	14.000	13.000	27.234	15.300	31.589	15.839	17.927	16.573	16.500	17.177	19.349	26.674	24.592	3.76611
3742140788.859	14.000	13.000	27.236	15.339	31.408	17.002	19.080	17.837	16.518	18.490	20.565	26.690	24.556	3.76583
3742140790.741	14.000	17.000	27.234	15.381	31.239	18.115	20.184	19.033	16.537	19.713	21.696	26.670	24.410	3.76555
3742140793.032	19.000	17.000	27.231	15.440	31.025	19.407	21.448	20.410	16.565	21.106	22.978	26.647	24.415	3.76520
3742140794.736	19.000	17.000	27.232	15.495	30.875	20.365	22.377	21.423	16.594	22.126	23.915	26.656	24.526	3.76491
3742140796.920	19.000	21.000	27.233	15.568	30.683	21.526	23.495	22.644	16.630	23.345	25.035	26.650	24.571	3.76455
3742140798.735	19.000	21.000	27.232	15.633	30.525	22.485	24.411	23.644	16.666	24.348	25.951	26.651	24.633	3.76425
3742140800.736	23.000	21.000	27.234	15.716	30.376	23.508	25.380	24.706	16.710	25.409	26.918	26.672	24.651	3.76391
3742140802.868	23.000	21.000	27.237	15.807	30.234	24.542	26.355	25.773	16.760	26.476	27.888	26.714	24.677	3.76355
3742140804.892	23.000	25.000	27.234	15.902	30.102	25.518	27.270	26.774	16.812	27.480	28.797	26.706	24.733	3.76319
3742140806.930	27.000	25.000	27.231	15.998	29.975	26.335	28.044	27.585	16.870	28.260	29.495	26.694	24.840	3.76286
3742140808.868	27.000	25.000	27.231	16.101	29.863	26.860	28.546	28.056	16.929	28.621	29.791	26.675	24.854	3.76255
3742140810.741	27.000	28.000	27.229	16.203	29.768	27.103	28.752	28.210	16.990	28.619	29.727	26.657	24.870	3.76229
3742140812.737	27.000	28.000	27.229	16.311	29.680	27.181	28.754	28.184	17.057	28.436	29.448	26.648	24.757	3.76205
3742140814.789	28.000	28.000	27.228	16.423	29.602	27.195	28.630	28.104	17.127	28.237	29.096	26.640	24.580	3.76184
3742140816.985	28.000	28.000	27.227	16.540	29.547	27.229	28.428	28.063	17.202	28.141	28.735	26.637	24.600	3.76165
3742140818.737	28.000	28.000	27.228	16.639	29.520	27.304	28.257	28.090	17.268	28.163	28.456	26.645	24.576	3.76150
3742140820.828	28.000	28.000	27.224	16.752	29.498	27.429	28.102	28.179	17.343	28.265	28.256	26.657	24.630	3.76134
3742140822.795	28.000	28.000	27.224	16.859	29.493	27.568	28.010	28.288	17.418	28.393	28.153	26.670	24.684	3.76120
3742140824.843	28.000	28.000	27.223	16.969	29.488	27.691	27.980	28.380	17.492	28.493	28.145	26.639	24.582	3.76107
3742140826.747	28.000	28.000	27.225	17.077	29.484	27.788	28.015	28.450	17.564	28.559	28.219	26.629	24.677	3.76095
3742140828.743	28.000	28.000	27.225	17.189	29.490	27.873	28.110	28.505	17.645	28.606	28.352	26.652	24.727	3.76082
3742140830.757	28.000	28.000	27.223	17.297	29.481	27.934	28.222	28.538	17.719	28.631	28.493	26.661	24.688	3.76071
3742140832.816	28.000	28.000	27.223	17.411	29.473	27.995	28.335	28.574	17.800	28.659	28.625	26.650	24.721	3.76060
3742140834.746	28.000	28.000	27.222	17.516	29.467	28.052	28.423	28.608	17.875	28.690	28.681	26.655	24.724	3.76050
3742140836.729	28.000	28.000	27.221	17.626	29.453	28.095	28.483	28.630	17.953	28.703	28.711	26.659	24.687	3.76041
3742140838.814	28.000	28.000	27.224	17.741	29.440	28.136	28.521	28.648	18.035	28.715	28.712	26.653	24.530	3.76032
3742140840.829	28.000	28.000	27.221	17.851	29.420	28.177	28.541	28.672	18.114	28.734	28.701	26.651	24.498	3.76024
3742140842.994	28.000	28.000	27.221	17.967	29.401	28.220	28.553	28.697	18.198	28.757	28.684	26.665	24.663	3.76015
3742140844.901	28.000	28.000	27.219	18.069	29.390	28.260	28.559	28.724	18.272	28.783	28.670	26.668	24.591	3.76008
3742140846.743	28.000	28.000	27.216	18.164	29.379	28.292	28.562	28.746	18.343	28.803	28.659	26.655	24.591	3.76003
3742140849.018	28.000	28.000	27.217	18.285	29.373	28.330	28.583	28.770	18.434	28.822	28.673	26.664	24.801	3.75995
3742140850.932	28.000	28.000	27.217	18.387	29.363	28.357	28.609	28.784	18.510	28.833	28.697	26.658	24.914	3.75990
3742140852.699	28.000	28.000	27.219	18.479	29.351	28.382	28.636	28.800	18.579	28.846	28.718	26.640	24.898	3.75985
3742140854.735	28.000	28.000	27.218	18.585	29.337	28.412	28.669	28.820	18.658	28.862	28.746	26.657	24.792	3.75980
3742140857.071	28.000	28.000	27.217	18.703	29.328	28.445	28.705	28.845	18.747	28.885	28.776	26.669	24.612	3.75974
3742140858.731	28.000	28.000	27.215	18.784	29.321	28.468	28.729	28.860	18.808	28.900	28.794	26.661	24.648	3.75970
3742140860.751	28.000	28.000	27.214	18.885	29.313	28.497	28.750	28.883	18.885	28.919	28.802	26.658	24.575	3.75966
3742140862.909	29.000	28.000	27.212	18.992	29.302	28.522	28.770	28.899	18.965	28.930	28.811	26.648	24.617	3.75961
3742140864.782	29.000	28.000	27.210	19.080	29.288	28.538	28.788	28.908	19.033	28.937	28.821	26.637	24.584	3.75957
3742140866.774	29.000	28.000	27.209	19.179	29.275	28.558	28.811	28.923	19.109	28.947	28.837	26.643	24.597	3.75953
3742140868.995	29.000	28.000	27.210	19.286	29.264	28.583	28.835	28.941	19.192	28.963	28.855	26.627	24.645	3.75949
3742140870.755	29.000	28.000	27.209	19.369	29.258	28.601	28.854	28.953	19.255	28.975	28.868	26.635	24.600	3.75946
3742140872.736	29.000	28.000	27.208	19.464	29.256	28.622	28.876	28.971	19.329	28.988	28.884	26.658	24.589	3.75943
3742140874.744	29.000	28.000	27.205	19.554	29.248	28.643	28.893	28.987	19.400	29.002	28.892	26.653	24.548	3.75940
3742140876.764	29.000	28.000	27.204	19.647	29.240	28.664	28.904	29.004	19.472	29.018	28.893	26.632	24.544	3.75937
3742140878.889	29.000	28.000	27.205	19.746	29.236	28.688	28.906	29.021	19.550	29.035	28.879	26.637	24.540	3.75933
3742140880.771	29.000	28.000	27.204	19.825	29.228	28.697	28.903	29.024	19.615	29.033	28.864	26.636	24.460	3.75931
3742140882.882	29.000	28.000	27.206	19.924	29.221	28.706	28.902	29.027	19.691	29.029	28.856	26.653	24.465	3.75928
3742140884.747	29.000	28.000	27.204	20.004	29.214	28.714	28.908	29.029	19.755	29.029	28.861	26.645	24.518	3.75926
3742140886.757	29.000	28.000	27.203	20.091	29.199	28.734	28.929	29.047	19.824	29.047	28.889	26.637	24.530	3.75923
3742140888.856	29.000	28.000	27.203	20.183	29.196	28.760	28.959	29.073	19.898	29.074	28.922	26.638	24.624	3.75921
3742140890.971	29.000	28.000	27.203	20.272	29.195	28.783	28.985	29.092	19.967	29.092	28.947	26.633	24.750	3.75918
3742140892.925	29.000	28.000	27.200	20.353	29.190	28.793	29.007	29.098	20.033	29.093	28.961	26.634	24.635	3.75916
3742140894.747	29.000	28.000	27.199	20.427	29.185	28.800	29.011	29.100	20.092	29.091	28.954	26.610	24.632	3.75914
3742140896.880	29.000	28.000	27.201	20.518	29.183	28.811	29.015	29.107	20.166	29.094	28.946	26.626	24.678	3.75911
3742140898.796	29.000	28.000	27.201	20.597	29.183	28.821	29.017	29.114	20.229	29.100	28.940	26.629	24.632	3.75910
3742140900.756	29.000	28.000	27.199	20.673	29.180	28.829	29.019	29.118	20.292	29.101	28.935	26.628	24.575	3.75907
3742140902.937	29.000	28.000	27.200	20.762	29.177	28.842	29.019	29.127	20.364	29.109	28.932	26.626	24.498	3.75906
3742140904.882	29.000	28.000	27.199	20.836	29.178	28.851	29.023	29.137	20.426	29.116	28.931	26.626	24.532	3.75903
3742140906.728	29.000	28.000	27.198	20.906	29.172	28.858	29.023	29.140	20.481	29.117	28.926	26.618	24.726	3.75902
3742140908.775	29.000	28.000	27.196	20.985	29.163	28.869	29.027	29.148	20.547	29.123	28.929	26.623	24.725	3.75899
3742140910.942	29.000	28.000	27.201	21.067	29.161	28.882	29.039	29.158	20.616	29.132	28.936	26.648	24.660	3.75897
3742140912.789	29.000	28.000	27.198	21.137	29.159	28.891	29.046	29.163	20.672	29.137	28.948	26.639	24.655	3.75897
3742140914.770	29.000	28.000	27.195	21.207	29.159	28.901	29.070	29.171	20.731	29.142	28.979	26.633	24.723	3.75895
3742140916.873	29.000	28.000	27.196	21.287	29.160	28.911	29.103	29.179	20.796	29.149	29.016	26.640	24.940	3.75894
3742140918.929	29.000	28.000	27.196	21.360	29.162	28.925	29.125	29.189	20.857	29.158	29.033	26.639	25.077	3.75892
3742140920.760	29.000	28.000	27.194	21.425	29.159	28.933	29.129	29.196	20.909	29.163	29.029	26.623	24.991	3.75890
3742140922.703	29.000	28.000	27.198	21.498	29.159	28.949	29.138	29.209	20.971	29.177	29.027	26.648	24.786	3.75889
3742140924.848	29.000	28.000	27.196	21.570	29.154	28.960	29.138	29.219	21.030	29.183	29.020	26.655	24.619	3.75887
3742140926.924	29.000	28.000	27.198	21.642	29.152	28.975	29.143	29.233	21.093	29.197	29.023	26.664	24.502	3.75886
3742140928.871	29.000	28.000	27.195	21.707	29.149	28.986	29.149	29.243	21.148	29.206	29.024	26.647	24.418	3.75885
3742140930.764	29.000	28.000	27.195	21.771	29.142	28.998	29.151	29.252	21.201	29.215	29.024	26.624	24.458	3.75883
3742140932.758	29.000	28.000	27.195	21.837	29.139	29.012	29.155	29.263	21.257	29.224	29.027	26.618	24.482	3.75882
3742140934.764	29.000	28.000	27.196	21.906	29.138	29.021	29.164	29.271	21.313	29.230	29.032	26.622	24.601	3.75880
3742140936.954	29.000	28.000	27.195	21.976	29.139	29.032	29.170	29.279	21.375	29.237	29.035	26.640	24.621	3.75879
3742140938.864	29.000	28.000	27.195	22.039	29.141	29.041	29.174	29.288	21.427	29.240	29.039	26.644	24.529	3.75877
3742140940.807	29.000	28.000	27.195	22.100	29.142	29.049	29.181	29.293	21.479	29.247	29.043	26.644	24.470	3.75876
3742140942.912	29.000	28.000	27.197	22.166	29.142	29.061	29.188	29.300	21.536	29.252	29.047	26.638	24.514	3.75875
3742140944.762	29.000	28.000	27.196	22.224	29.137	29.068	29.195	29.308	21.587	29.260	29.049	26.632	24.526	3.75873
3742140946.872	29.000	28.000	27.194	22.287	29.134	29.078	29.199	29.313	21.640	29.264	29.053	26.635	24.565	3.75872
3742140948.708	29.000	28.000	27.194	22.345	29.136	29.088	29.206	29.323	21.690	29.273	29.058	26.640	24.632	3.75870
3742140950.929	29.000	28.000	27.195	22.411	29.138	29.098	29.214	29.331	21.747	29.280	29.064	26.634	24.657	3.75870
3742140952.877	29.000	28.000	27.195	22.469	29.138	29.109	29.222	29.340	21.797	29.288	29.073	26.638	24.661	3.75868
3742140954.747	29.000	28.000	27.193	22.525	29.136	29.116	29.229	29.347	21.844	29.294	29.077	26.643	24.529	3.75867
3742140956.883	29.000	28.000	27.194	22.587	29.137	29.128	29.241	29.356	21.899	29.301	29.086	26.637	24.502	3.75866
3742140958.801	29.000	28.000	27.189	22.639	29.130	29.130	29.241	29.356	21.944	29.301	29.085	26.618	24.559	3.75865
3742140960.792	29.000	28.000	27.193	22.697	29.131	29.135	29.251	29.359	21.994	29.298	29.092	26.636	24.619	3.75864
3742140962.763	29.000	28.000	27.196	22.751	29.130	29.137	29.260	29.358	22.044	29.295	29.102	26.659	24.647	3.75862
3742140964.987	29.000	28.000	27.194	22.814	29.126	29.137	29.268	29.354	22.097	29.290	29.107	26.667	24.580	3.75861
3742140966.802	29.000	28.000	27.193	22.865	29.126	29.137	29.275	29.354	22.139	29.286	29.114	26.668	24.459	3.75861
3742140968.722	29.000	28.000	27.193	22.916	29.126	29.147	29.283	29.363	22.186	29.298	29.119	26.661	24.451	3.75859
3742140970.898	29.000	28.000	27.194	22.976	29.126	29.165	29.292	29.381	22.237	29.318	29.126	26.650	24.535	3.75859
3742140972.969	29.000	28.000	27.193	23.028	29.127	29.179	29.299	29.393	22.286	29.334	29.132	26.651	24.435	3.75857
3742140974.962	29.000	28.000	27.192	23.080	29.125	29.193	29.306	29.404	22.330	29.346	29.137	26.649	24.438	3.75856
3742140976.880	29.000	29.000	27.194	23.132	29.126	29.207	29.314	29.417	22.375	29.356	29.143	26.640	24.435	3.75855
3742140978.820	29.000	29.000	27.191	23.180	29.124	29.209	29.321	29.419	22.418	29.355	29.148	26.630	24.352	3.75854
3742140980.742	29.000	29.000	27.195	23.232	29.124	29.213	29.330	29.419	22.464	29.351	29.157	26.627	24.365	3.75852
3742140982.744	29.000	29.000	27.193	23.281	29.119	29.211	29.336	29.414	22.509	29.344	29.162	26.629	24.452	3.75852
3742140984.992	29.000	29.000	27.194	23.336	29.117	29.209	29.345	29.409	22.557	29.334	29.169	26.629	24.530	3.75851
3742140986.823	29.000	29.000	27.193	23.384	29.115	29.210	29.355	29.409	22.600	29.335	29.177	26.622	24.524	3.75850
3742140988.780	29.000	29.000	27.194	23.429	29.116	29.211	29.363	29.407	22.639	29.334	29.185	26.625	24.342	3.75849
3742140990.920	29.000	29.000	27.192	23.480	29.114	29.224	29.371	29.421	22.688	29.349	29.193	26.628	24.366	3.75847
3742140992.749	29.000	29.000	27.196	23.528	29.119	29.241	29.378	29.435	22.727	29.367	29.200	26.624	24.571	3.75847
3742140994.866	29.000	29.000	27.190	23.574	29.119	29.256	29.387	29.452	22.770	29.385	29.205	26.612	24.537	3.75845
3742140996.838	29.000	29.000	27.191	23.620	29.123	29.272	29.394	29.470	22.814	29.405	29.211	26.613	24.368	3.75844
3742140999.066	29.000	29.000	27.193	23.674	29.125	29.290	29.403	29.485	22.861	29.418	29.218	26.613	24.556	3.75844
3742141000.721	29.000	29.000	27.193	23.712	29.125	29.294	29.408	29.487	22.896	29.419	29.223	26.626	24.635	3.75843
3742141002.923	29.000	29.000	27.192	23.761	29.126	29.294	29.417	29.484	22.940	29.409	29.230	26.619	24.640	3.75842
3742141004.805	29.000	29.000	27.191	23.802	29.124	29.289	29.424	29.475	22.977	29.396	29.235	26.613	24.487	3.75841
3742141006.925	29.000	29.000	27.191	23.851	29.122	29.286	29.430	29.469	23.020	29.387	29.240	26.612	24.446	3.75840
3742141008.839	29.000	29.000	27.191	23.891	29.121	29.285	29.434	29.466	23.056	29.383	29.244	26.599	24.462	3.75839
3742141010.818	29.000	29.000	27.194	23.938	29.124	29.294	29.444	29.477	23.099	29.396	29.249	26.593	24.535	3.75837
3742141012.778	29.000	29.000	27.194	23.978	29.126	29.311	29.449	29.493	23.138	29.417	29.255	26.600	24.701	3.75837
3742141014.727	29.000	29.000	27.191	24.019	29.123	29.326	29.455	29.507	23.174	29.434	29.261	26.615	24.686	3.75836
3742141016.916	29.000	29.000	27.195	24.068	29.133	29.346	29.466	29.529	23.220	29.454	29.270	26.612	24.641	3.75836
3742141018.892	29.000	29.000	27.193	24.108	29.136	29.359	29.473	29.540	23.255	29.468	29.272	26.615	24.595	3.75834
3742141020.873	29.000	29.000	27.193	24.148	29.139	29.366	29.476	29.546	23.292	29.470	29.277	26.620	24.615	3.75834
3742141022.885	29.000	29.000	27.191	24.186	29.138	29.364	29.480	29.540	23.328	29.460	29.280	26.619	24.547	3.75833
3742141024.797	29.000	29.000	27.193	24.228	29.138	29.361	29.486	29.535	23.367	29.450	29.286	26.603	24.597	3.75832
3742141026.732	29.000	29.000	27.192	24.266	29.134	29.358	29.492	29.531	23.403	29.445	29.291	26.614	24.738	3.75831
3742141028.755	29.000	29.000	27.194	24.308	29.137	29.361	29.500	29.529	23.441	29.442	29.297	26.614	24.820	3.75830
3742141030.899	29.000	29.000	27.190	24.349	29.135	29.368	29.504	29.535	23.477	29.450	29.299	26.620	24.743	3.75830
3742141032.906	29.000	29.000	27.192	24.387	29.135	29.381	29.511	29.552	23.513	29.471	29.306	26.648	24.763	3.75828
3742141034.942	29.000	29.000	27.189	24.425	29.134	29.399	29.516	29.570	23.549	29.492	29.311	26.654	24.721	3.75828
3742141036.876	29.000	29.000	27.192	24.465	29.138	29.417	29.526	29.587	23.586	29.512	29.319	26.671	24.758	3.75827
3742141038.769	29.000	29.000	27.191	24.499	29.140	29.429	29.531	29.600	23.618	29.523	29.322	26.652	24.716	3.75826
3742141040.748	29.000	29.000	27.189	24.537	29.140	29.438	29.537	29.607	23.653	29.529	29.331	26.645	24.551	3.75825
3742141042.793	29.000	29.000	27.188	24.573	29.141	29.437	29.544	29.602	23.687	29.519	29.336	26.632	24.323	3.75824
3742141044.768	29.000	29.000	27.191	24.611	29.145	29.437	29.555	29.599	23.725	29.512	29.344	26.629	24.277	3.75823
3742141046.821	29.000	29.000	27.189	24.649	29.144	29.435	29.560	29.594	23.758	29.505	29.348	26.616	24.352	3.75823
3742141048.950	29.000	29.000	27.189	24.686	29.149	29.435	29.565	29.593	23.792	29.503	29.352	26.624	24.520	3.75822
3742141050.746	29.000	29.000	27.191	24.718	29.149	29.440	29.568	29.598	23.823	29.508	29.354	26.620	24.631	3.75821
3742141052.874	29.000	29.000	27.189	24.755	29.147	29.455	29.576	29.614	23.860	29.531	29.360	26.615	24.619	3.75821
3742141054.951	29.000	29.000	27.189	24.791	29.144	29.473	29.580	29.631	23.892	29.550	29.367	26.618	24.684	3.75820
3742141056.700	29.000	29.000	27.189	24.820	29.145	29.484	29.587	29.646	23.922	29.565	29.371	26.631	24.662	3.75819
3742141058.894	29.000	29.000	27.189	24.860	29.148	29.499	29.593	29.660	23.958	29.579	29.377	26.634	24.650	3.75818
3742141060.910	29.000	29.000	27.190	24.893	29.156	29.504	29.601	29.662	23.991	29.579	29.385	26.623	24.677	3.75817
3742141062.778	29.000	29.000	27.191	24.927	29.159	29.505	29.607	29.660	24.021	29.573	29.389	26.611	24.594	3.75815
3742141064.911	29.000	29.000	27.189	24.961	29.160	29.502	29.613	29.654	24.053	29.563	29.393	26.620	24.523	3.75815
3742141066.901	29.000	29.000	27.190	24.994	29.162	29.498	29.619	29.647	24.087	29.555	29.396	26.620	24.518	3.75815
3742141068.696	29.000	29.000	27.189	25.023	29.166	29.498	29.622	29.645	24.113	29.550	29.398	26.618	24.484	3.75814
3742141070.866	29.000	29.000	27.190	25.057	29.170	29.501	29.627	29.648	24.147	29.554	29.403	26.628	24.390	3.75814
