20220731_143306 
time	T01	T02	T03	T04	T05	T06	T07	T08	T09	T10	T11	T12	T13	U	
time	TEC1	TEC2	BoxTop	TabAnode	SurfaceBottomAnode	SurfaceTopAnode	SurfaceBottomCathode	SurfaceTopCathode	TabCathode	SurfaceTopCenter	SurfaceBottomCenter	CoolingBlockTop	Ambient	U	
3742115588.719	30.000	30.000	27.054	29.867	29.449	30.165	30.416	30.190	29.534	30.112	30.070	26.548	24.342	3.75671
3742115590.719	30.000	30.000	27.058	29.870	29.451	30.657	30.424	30.782	29.536	30.865	30.089	26.542	24.276	3.75669
3742115592.740	30.000	30.000	27.052	29.865	29.446	31.368	30.661	31.613	29.532	31.891	30.513	26.541	24.259	3.75666
3742115594.749	30.000	30.000	27.053	29.867	29.442	32.200	31.258	32.567	29.532	33.002	31.416	26.549	24.290	3.75658
3742115596.750	32.000	30.000	27.050	29.873	29.427	33.045	32.022	33.517	29.534	34.060	32.440	26.566	24.196	3.75648
3742115598.713	32.000	31.000	27.054	29.888	29.399	33.907	32.875	34.476	29.542	35.087	33.491	26.566	24.247	3.75634
3742115600.727	34.000	31.000	27.051	29.903	29.345	34.750	33.743	35.404	29.547	36.055	34.494	26.556	24.320	3.75619
3742115602.766	35.000	32.000	27.051	29.924	29.276	35.564	34.595	36.291	29.555	36.965	35.436	26.539	24.242	3.75602
3742115604.774	35.000	32.000	27.053	29.950	29.197	36.380	35.450	37.171	29.567	37.856	36.345	26.540	24.172	3.75583
3742115606.734	37.000	34.000	27.053	29.976	29.118	37.126	36.227	37.972	29.580	38.658	37.159	26.549	24.254	3.75563
3742115608.732	37.000	34.000	27.054	30.011	29.040	37.871	36.997	38.760	29.600	39.449	37.952	26.550	24.374	3.75543
3742115610.721	39.000	35.000	27.052	30.048	28.956	38.589	37.738	39.520	29.618	40.208	38.708	26.546	24.533	3.75521
3742115612.762	39.000	35.000	27.049	30.088	28.874	39.290	38.455	40.255	29.638	40.942	39.438	26.538	24.641	3.75499
3742115614.740	40.000	37.000	27.048	30.137	28.798	39.976	39.155	40.972	29.664	41.656	40.145	26.519	24.684	3.75475
3742115616.731	40.000	37.000	27.048	30.189	28.728	40.622	39.808	41.643	29.693	42.323	40.801	26.510	24.710	3.75452
3742115618.725	41.000	38.000	27.052	30.246	28.667	41.260	40.454	42.304	29.730	42.985	41.449	26.527	24.673	3.75429
3742115620.704	41.000	39.000	27.051	30.306	28.603	41.881	41.077	42.943	29.762	43.622	42.076	26.576	24.493	3.75405
3742115622.754	42.000	39.000	27.052	30.369	28.547	42.492	41.687	43.570	29.801	44.249	42.689	26.590	24.429	3.75381
3742115624.767	44.000	40.000	27.049	30.434	28.490	43.084	42.280	44.179	29.837	44.854	43.280	26.591	24.426	3.75358
3742115626.730	44.000	40.000	27.049	30.505	28.443	43.648	42.837	44.752	29.881	45.429	43.839	26.576	24.337	3.75334
3742115628.757	45.000	41.000	27.049	30.577	28.399	44.201	43.388	45.316	29.923	45.992	44.390	26.547	24.379	3.75310
3742115630.722	45.000	41.000	27.052	30.658	28.361	44.748	43.928	45.870	29.976	46.546	44.930	26.539	24.191	3.75285
3742115632.784	46.000	42.000	27.050	30.739	28.319	45.281	44.455	46.410	30.025	47.086	45.455	26.540	24.238	3.75261
3742115634.775	46.000	42.000	27.050	30.825	28.283	45.810	44.972	46.945	30.077	47.621	45.973	26.535	24.297	3.75237
3742115636.741	47.000	43.000	27.051	30.912	28.255	46.304	45.459	47.445	30.134	48.122	46.460	26.527	24.433	3.75214
3742115638.769	47.000	44.000	27.054	31.006	28.233	46.797	45.945	47.940	30.194	48.617	46.944	26.531	24.520	3.75190
3742115640.716	47.000	44.000	27.054	31.097	28.209	47.274	46.417	48.421	30.253	49.100	47.415	26.523	24.535	3.75167
3742115642.746	48.000	45.000	27.054	31.195	28.187	47.749	46.885	48.899	30.318	49.577	47.882	26.524	24.480	3.75144
3742115644.750	48.000	45.000	27.055	31.294	28.164	48.167	47.341	49.310	30.383	49.974	48.337	26.556	24.405	3.75121
3742115646.734	49.000	46.000	27.054	31.397	28.145	48.449	47.779	49.556	30.451	50.166	48.775	26.591	24.328	3.75099
3742115648.775	49.000	46.000	27.051	31.497	28.124	48.572	48.205	49.627	30.515	50.150	49.199	26.610	24.409	3.75078
3742115650.728	49.000	46.000	27.054	31.606	28.111	48.608	48.630	49.599	30.590	50.032	49.623	26.608	24.394	3.75057
3742115652.778	49.000	46.000	27.052	31.709	28.095	48.610	49.039	49.544	30.661	49.914	50.032	26.576	24.382	3.75039
3742115654.708	49.000	47.000	27.053	31.816	28.085	48.640	49.435	49.528	30.732	49.871	50.429	26.574	24.377	3.75021
3742115656.732	49.000	47.000	27.054	31.930	28.075	48.714	49.836	49.567	30.811	49.909	50.833	26.572	24.350	3.75003
3742115658.758	49.000	48.000	27.053	32.039	28.064	48.819	50.215	49.646	30.884	50.004	51.218	26.566	24.361	3.74986
3742115660.723	49.000	49.000	27.053	32.148	28.054	48.935	50.586	49.740	30.959	50.111	51.589	26.555	24.435	3.74969
3742115662.766	49.000	49.000	27.051	32.259	28.046	49.031	50.923	49.806	31.038	50.177	51.903	26.542	24.471	3.74952
3742115664.726	49.000	49.000	27.052	32.371	28.042	49.091	51.148	49.832	31.116	50.191	52.043	26.533	24.375	3.74937
3742115666.719	49.000	49.000	27.050	32.486	28.039	49.121	51.242	49.825	31.196	50.161	52.012	26.530	24.190	3.74922
3742115668.762	49.000	50.000	27.051	32.599	28.041	49.133	51.220	49.805	31.277	50.123	51.851	26.547	24.201	3.74908
3742115670.745	49.000	50.000	27.052	32.710	28.048	49.154	51.115	49.795	31.357	50.107	51.621	26.557	24.238	3.74897
3742115672.771	49.000	50.000	27.052	32.820	28.062	49.186	50.980	49.803	31.438	50.114	51.396	26.573	24.091	3.74886
3742115674.735	49.000	50.000	27.052	32.932	28.084	49.228	50.865	49.828	31.519	50.140	51.236	26.579	24.230	3.74877
3742115676.719	49.000	50.000	27.053	33.043	28.110	49.270	50.789	49.851	31.601	50.169	51.152	26.577	24.365	3.74868
3742115678.762	49.000	49.000	27.056	33.152	28.140	49.310	50.766	49.875	31.681	50.195	51.147	26.561	24.407	3.74859
3742115680.756	49.000	49.000	27.052	33.257	28.164	49.347	50.791	49.898	31.759	50.219	51.204	26.552	24.438	3.74851
3742115682.755	49.000	49.000	27.051	33.363	28.190	49.386	50.859	49.926	31.836	50.248	51.304	26.561	24.414	3.74843
3742115684.786	49.000	49.000	27.054	33.472	28.218	49.423	50.949	49.947	31.919	50.268	51.416	26.569	24.278	3.74834
3742115686.734	49.000	49.000	27.052	33.577	28.237	49.445	51.025	49.958	31.997	50.273	51.494	26.567	24.274	3.74827
3742115688.746	49.000	49.000	27.052	33.681	28.257	49.468	51.079	49.969	32.075	50.279	51.529	26.551	24.150	3.74820
3742115690.757	49.000	50.000	27.053	33.787	28.275	49.492	51.110	49.980	32.154	50.288	51.533	26.543	24.253	3.74814
3742115692.723	49.000	50.000	27.054	33.890	28.294	49.517	51.117	49.995	32.235	50.303	51.505	26.545	24.343	3.74808
3742115694.731	49.000	50.000	27.051	33.991	28.310	49.540	51.097	50.008	32.310	50.311	51.453	26.548	24.489	3.74802
3742115696.702	49.000	50.000	27.052	34.092	28.329	49.559	51.076	50.018	32.387	50.321	51.407	26.537	24.521	3.74796
3742115698.714	49.000	50.000	27.053	34.195	28.350	49.583	51.056	50.035	32.466	50.333	51.370	26.533	24.419	3.74792
3742115700.748	50.000	50.000	27.054	34.292	28.371	49.599	51.039	50.041	32.542	50.338	51.346	26.527	24.293	3.74787
3742115702.760	50.000	50.000	27.050	34.391	28.389	49.608	51.046	50.045	32.620	50.336	51.355	26.521	24.444	3.74782
3742115704.754	50.000	50.000	27.055	34.490	28.414	49.625	51.066	50.051	32.694	50.339	51.378	26.516	24.530	3.74777
3742115706.713	50.000	50.000	27.055	34.585	28.433	49.637	51.089	50.057	32.769	50.343	51.400	26.521	24.621	3.74773
3742115708.708	50.000	50.000	27.053	34.679	28.449	49.651	51.110	50.065	32.843	50.352	51.420	26.535	24.651	3.74769
3742115710.752	50.000	50.000	27.057	34.775	28.471	49.669	51.135	50.078	32.921	50.364	51.443	26.535	24.663	3.74765
3742115712.791	50.000	50.000	27.053	34.868	28.486	49.683	51.157	50.086	32.990	50.371	51.456	26.526	24.671	3.74762
3742115714.769	50.000	50.000	27.058	34.964	28.507	49.701	51.170	50.100	33.065	50.384	51.456	26.531	24.579	3.74758
3742115716.706	50.000	50.000	27.058	35.052	28.525	49.720	51.168	50.112	33.133	50.393	51.438	26.524	24.335	3.74755
3742115718.704	50.000	50.000	27.060	35.141	28.541	49.736	51.167	50.125	33.206	50.406	51.426	26.516	24.402	3.74751
3742115720.749	50.000	50.000	27.059	35.233	28.557	49.753	51.164	50.139	33.279	50.416	51.415	26.510	24.528	3.74748
3742115722.733	50.000	50.000	27.058	35.321	28.576	49.758	51.165	50.138	33.350	50.412	51.407	26.519	24.564	3.74745
3742115724.711	50.000	50.000	27.057	35.407	28.592	49.755	51.167	50.129	33.417	50.394	51.404	26.539	24.481	3.74742
3742115726.752	50.000	50.000	27.057	35.491	28.610	49.754	51.172	50.122	33.488	50.382	51.407	26.530	24.450	3.74740
3742115728.720	50.000	50.000	27.056	35.576	28.624	49.760	51.175	50.123	33.556	50.384	51.406	26.522	24.474	3.74738
3742115730.757	50.000	50.000	27.056	35.660	28.642	49.777	51.183	50.139	33.623	50.403	51.410	26.527	24.448	3.74735
3742115732.769	50.000	50.000	27.057	35.747	28.658	49.797	51.191	50.157	33.692	50.424	51.415	26.527	24.386	3.74733
3742115734.744	50.000	50.000	27.055	35.826	28.674	49.810	51.199	50.166	33.756	50.433	51.420	26.534	24.294	3.74730
3742115736.770	50.000	50.000	27.059	35.909	28.694	49.816	51.212	50.169	33.825	50.427	51.428	26.538	24.300	3.74727
3742115738.726	50.000	50.000	27.058	35.989	28.711	49.815	51.220	50.162	33.889	50.415	51.433	26.537	24.285	3.74726
3742115740.759	50.000	50.000	27.060	36.069	28.729	49.814	51.231	50.158	33.959	50.406	51.438	26.535	24.263	3.74724
3742115742.765	50.000	50.000	27.059	36.148	28.742	49.814	51.237	50.154	34.022	50.400	51.439	26.531	24.222	3.74722
3742115744.732	50.000	50.000	27.058	36.224	28.757	49.822	51.240	50.158	34.084	50.405	51.433	26.530	24.248	3.74720
3742115746.779	50.000	50.000	27.059	36.301	28.771	49.833	51.231	50.166	34.145	50.415	51.413	26.527	24.240	3.74718
3742115748.733	50.000	50.000	27.059	36.376	28.786	49.843	51.224	50.176	34.208	50.424	51.400	26.509	24.303	3.74716
